coefficient            estimate    ste          tval       pval
Intercept               2.982     0.28503      10.462    3.7748e-15    
Building            -0.058543    0.067504    -0.86726       0.38926    
Urban_Vegetation    0.0084794    0.014259     0.59466       0.55431    
Habitat_Mixed         -1.9326     0.43679     -4.4246    4.1417e-05   
Habitat_Short         -4.0365      1.6183     -2.4943      0.015392    
Habitat_Tall          -1.6574     0.45269     -3.6612    0.00053204    
Intercept              1.827      0.45345      4.0291    0.00015999    
Building             0.12852     0.087286      1.4724       0.14615    
Urban_Vegetation    0.029489     0.024313      1.2129       0.22993    
Habitat_Mixed        -3.8817        1.985     -1.9555      0.055188    
Habitat_Short        -2.4673       1.1752     -2.0994      0.039993    
Habitat_Tall        -0.26088       0.5254    -0.49653       0.62133   
Intercept               2.3489     0.28498      8.2424     1.893e-11   
Building              0.024885    0.037593     0.66195       0.51054    
Urban_Vegetation    -0.0054389    0.014214    -0.38265       0.70333    
Habitat_Mixed           -2.183     0.42969     -5.0805    3.9361e-06    
Habitat_Short          -2.9971     0.83497     -3.5895    0.00066791    
Habitat_Tall          -0.85965     0.31888     -2.6959     0.0090965    
