1,1,1,1,1,0.98,0.99,1,0.98,0.98,0.97,1,1,0.98,0.97,1,1,1,1,1,1
1,1,1,1,0.99,0.99,1,0.95,0.97,0.97,0.97,0.97,0.91,0.97,0.99,0.99,0.99,0.99,1,1,1
1,1,1,1,0.98,0.96,0.92,0.97,0.89,0.86,0.9,0.89,0.9,0.95,0.95,0.98,1,0.99,1,1,0.99
1,1,1,1,0.99,0.95,0.95,0.92,0.81,0.86,0.89,0.87,0.87,0.92,0.92,0.96,0.98,0.98,1,1,1
0.99,1,0.98,0.98,0.95,0.86,0.91,0.85,0.77,0.75,0.69,0.79,0.74,0.76,0.89,0.95,0.96,0.98,0.99,1,1
1,0.98,0.98,0.93,0.92,0.82,0.81,0.7,0.75,0.67,0.49,0.63,0.63,0.75,0.78,0.9,0.96,0.95,0.98,0.99,1
1,0.98,0.98,0.98,0.78,0.76,0.73,0.61,0.52,0.42,0.47,0.42,0.47,0.57,0.67,0.8,0.92,0.95,0.96,1,1
0.98,1,0.97,0.9,0.84,0.71,0.55,0.5,0.35,0.3,0.32,0.33,0.36,0.42,0.61,0.74,0.78,0.88,0.95,0.98,0.99
1,0.98,0.96,0.89,0.8,0.63,0.44,0.34,0.18,0.16,0.11,0.17,0.21,0.43,0.5,0.66,0.8,0.89,0.95,0.96,0.99
0.99,0.96,0.87,0.85,0.77,0.68,0.37,0.27,0.13,0.1,0.04,0.14,0.14,0.23,0.4,0.58,0.79,0.89,0.93,0.95,0.99
0.98,1,0.94,0.84,0.72,0.48,0.35,0.14,0.0600000000000001,0.07,0.03,0.0600000000000001,0.13,0.3,0.35,0.56,0.77,0.81,0.96,0.98,0.96
0.98,0.96,0.93,0.9,0.72,0.63,0.4,0.23,0.09,0.07,0.09,0.11,0.16,0.23,0.36,0.53,0.65,0.91,0.92,0.98,0.98
0.99,0.98,0.94,0.87,0.81,0.62,0.43,0.28,0.23,0.11,0.15,0.16,0.21,0.33,0.44,0.68,0.79,0.94,0.96,1,1
0.99,0.99,0.95,0.87,0.83,0.73,0.65,0.52,0.28,0.24,0.3,0.29,0.37,0.36,0.51,0.75,0.87,0.96,0.95,0.99,0.99
1,1,0.97,0.94,0.87,0.86,0.68,0.53,0.57,0.44,0.49,0.35,0.52,0.59,0.6,0.79,0.91,0.96,0.99,1,1
1,1,1,0.95,0.92,0.91,0.79,0.66,0.57,0.59,0.6,0.56,0.65,0.77,0.82,0.9,0.88,0.96,0.97,0.99,1
0.99,1,1,0.97,0.97,0.94,0.86,0.83,0.75,0.78,0.78,0.78,0.75,0.82,0.91,0.86,0.95,0.99,1,0.99,1
1,1,0.99,0.99,0.97,0.97,0.88,0.89,0.86,0.84,0.81,0.78,0.85,0.87,0.95,0.94,0.99,0.99,1,1,1
1,1,1,0.99,0.98,0.99,0.97,0.95,0.94,0.94,0.91,0.91,0.96,0.93,0.94,0.96,0.98,1,1,1,1
1,1,0.99,0.99,0.99,0.99,0.96,0.95,0.94,0.99,0.92,0.96,0.97,0.94,0.93,0.99,0.98,1,1,1,1
1,1,1,1,1,1,0.99,0.98,0.95,0.94,0.98,0.98,0.98,0.98,1,0.99,1,1,1,1,1
